code,Stkcd
date,Accper
total_revenue,B001100000
operating_revenue,B001101000
net_interest_income,Bbd1102000
interest_income_fin,Bbd1102101
interest_expenses_fin,Bbd1102203
earned_premium,B0i1103000
income_from_insurance_business,B0i1103101
reinsurance_premium_income,B0i1103111
reinsurance_premium_ceded,B0i1103203
appropriation_of_deposit_for_undue_duty,B0i1103303
net_fee_and_commission_income,B0d1104000
net_securities_trading_agency_income,B0d1104101
net_securities_underwriting_income,B0d1104201
net_trusted_customer_asset_management_income,B0d1104301
fee_and_commission_revenue,B0d1104401
fee_and_commission_expenses,B0d1104501
other_operating_income,B0f1105000
total_operating_cost,B001200000
cost_of_goods_sold,B001201000
refunded_premiums,B0i1202000
net_claims_paid,B0i1203000
claims_paid,B0i1203101
reinsurers_share_of_claims_paid,B0i1203203
net_appropriation_of_deposit_for_duty,B0i1204000
appropriation_of_deposit_for_duty,B0i1204101
amortized_appropriation_of_deposit_for_duty,B0i1204203
policyholder_dividend_expense,B0i1205000
reinsurance_expenses,B0i1206000
research_and_development_expenses,B001216000
sales_tax_and_extra_charges,B001207000
sales_and_management_expenses,B0f1208000
refund_of_reinsurance_premium_ceded,B0i1208103
marketing_expenses,B001209000
administrative_expenses,B001210000
financing_costs,B001211000
interest_expenses,B001211101
interest_income,B001211203
depreciation_expense,B001212000
cost_of_other_operations,B0f1213000
income_from_changes_in_fair_value,B001301000
investment_income,B001302000
gain_on_exchange,B001303000
income_from_other_operations,B001304000
operating_income,B001300000
non_operating_income,B001400000
gain_from_disposal_of_non_current_assets,B001400101
non_operating_expenses,B001500000
net_gain_from_disposal_of_non_current_assets,B001500101
loss_from_disposal_of_non_current_assets,B001500201
income_before_tax,B001000000
income_tax_expense,B002100000
unrealized_investment_loss,B002200000
other_subjects_affecting_net_profit,B002300000
net_profit,B002000000
net_income_attributable_to_shareholders,B002000101
non_recurrent_gain,F020101
net_income_less_non_recurrent_gain,F020102
gains_losses_attributable_to_minority_interests,B002000201
basic_earnings_per_share,B003000000
diluted_earnings_per_share,B004000000
other_comprehensive_income,B005000000
accumulated_other_comprehensive_income,B006000000
aoci_attributable_to_shareholders,B006000101
aoci_attributable_to_minority,B006000102
other_income,B001305000
net_exposure_hedging_income,B001306000
credit_devaluation_loss,B001307000
gain_from_non_currunt_assets_disposal,B001308000
net_income_to_other_equity_instruments_holder,B002000301
